",Crop,Element,Year,Production"
"1175,Millet,Production,2015,99000.0"
"1178,Millet,Production,2016,54000.0"
"1181,Millet,Production,2017,54000.0"
"1184,Millet,Production,2018,72000.0"
"1187,Millet,Production,2019,135000.0"
"1190,Millet,Production,2020,153000.0"
"1193,Millet,Production,2021,59180.0"
"1196,Millet,Production,2022,59459.0"
"1199,Millet,Production,2023,86762.0"
"1202,Millet,Production,2024,65762.58"
