",Crop,Element,Year,Production"
"2434,Tea leaves,Production,2015,1735000.0"
"2437,Tea leaves,Production,2016,2057000.0"
"2440,Tea leaves,Production,2017,1912000.0"
"2443,Tea leaves,Production,2018,2143000.0"
"2446,Tea leaves,Production,2019,1995000.0"
"2449,Tea leaves,Production,2020,3050000.0"
"2452,Tea leaves,Production,2021,2430900.0"
"2455,Tea leaves,Production,2022,2418200.0"
"2458,Tea leaves,Production,2023,2577800.0"
"2461,Tea leaves,Production,2024,2687200.0"
