",Crop,Element,Year,Production"
"2185,Sorghum,Production,2015,189000.0"
"2188,Sorghum,Production,2016,117000.0"
"2191,Sorghum,Production,2017,144000.0"
"2194,Sorghum,Production,2018,189000.0"
"2197,Sorghum,Production,2019,288000.0"
"2200,Sorghum,Production,2020,315000.0"
"2203,Sorghum,Production,2021,138901.0"
"2206,Sorghum,Production,2022,120420.0"
"2209,Sorghum,Production,2023,198921.0"
"2212,Sorghum,Production,2024,243000.0"
